,TEAM,STATUS,PLAYER,POS.,CAP HIT,CAP %,YEAR,,,SALARY CAP,win%,avg_age,WIN%_GRP,POS_GRP,ID,ID,ID,ID,ID,Commas,,,team name on site,,
15,jax,active,Jawaan Taylor,RT,2139115,1.02,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,kc_2021,kc_2019,"kc_2019,",kc_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Kansas-City-Chiefs,"Kansas-City-Chiefs/cap/2019"")","kc_2019 =pd.read_html(""https://www.spotrac.com/nfl/Kansas-City-Chiefs/cap/2019"")"
16,jax,active,Tre Herndon,CB,1985294,0.95,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,lac_2021,lac_2019,"lac_2019,",lac_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Los-Angeles-Chargers,"Los-Angeles-Chargers/cap/2019"")","lac_2019 =pd.read_html(""https://www.spotrac.com/nfl/Los-Angeles-Chargers/cap/2019"")"
17,jax,active,Damien Wilson,ILB,1964705,0.94,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,lar_2021,lar_2019,"lar_2019,",lar_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Los-Angeles-Rams,"Los-Angeles-Rams/cap/2019"")","lar_2019 =pd.read_html(""https://www.spotrac.com/nfl/Los-Angeles-Rams/cap/2019"")"
18,jax,active,Laviska Shenault,WR,1749106,0.84,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,lv_2021,lv_2019,"lv_2019,",lv_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Las-Vegas-Raiders,"Las-Vegas-Raiders/cap/2019"")","lv_2019 =pd.read_html(""https://www.spotrac.com/nfl/Las-Vegas-Raiders/cap/2019"")"
19,jax,active,Tyson Campbell,CB,1639110,0.78,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,mia_2021,mia_2019,"mia_2019,",mia_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Miami-Dolphins,"Miami-Dolphins/cap/2019"")","mia_2019 =pd.read_html(""https://www.spotrac.com/nfl/Miami-Dolphins/cap/2019"")"
20,jax,active,Nevin Lawson,CB,1590000,0.76,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,min_2021,min_2019,"min_2019,",min_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Minnesota-Vikings,"Minnesota-Vikings/cap/2019"")","min_2019 =pd.read_html(""https://www.spotrac.com/nfl/Minnesota-Vikings/cap/2019"")"
21,jax,active,Walker Little,LT,1385764,0.66,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,ne_2021,ne_2019,"ne_2019,",ne_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-England-Patriots,"New-England-Patriots/cap/2019"")","ne_2019 =pd.read_html(""https://www.spotrac.com/nfl/New-England-Patriots/cap/2019"")"
22,jax,active,Tyler Shatley,C,1212500,0.58,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,no_2021,no_2019,"no_2019,",no_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-Orleans-Saints,"New-Orleans-Saints/cap/2019"")","no_2019 =pd.read_html(""https://www.spotrac.com/nfl/New-Orleans-Saints/cap/2019"")"
23,jax,active,James O'Shaughnessy,TE,1127500,0.54,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,nyg_2021,nyg_2019,"nyg_2019,",nyg_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-York-Giants,"New-York-Giants/cap/2019"")","nyg_2019 =pd.read_html(""https://www.spotrac.com/nfl/New-York-Giants/cap/2019"")"
24,jax,active,DaVon Hamilton,DT,1095572,0.52,2019,2020,2021,182500000,0.176,25.48,low_win%,d-line,jax_2019,jax_2020,jax_2021,nyj_2021,nyj_2019,"nyj_2019,",nyj_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-York-Jets,"New-York-Jets/cap/2019"")","nyj_2019 =pd.read_html(""https://www.spotrac.com/nfl/New-York-Jets/cap/2019"")"
25,jax,active,Adam Gotsis,DE,987500,0.47,2019,2020,2021,182500000,0.176,25.48,low_win%,d-line,jax_2019,jax_2020,jax_2021,phi_2021,phi_2019,"phi_2019,",phi_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Philadelphia-Eagles,"Philadelphia-Eagles/cap/2019"")","phi_2019 =pd.read_html(""https://www.spotrac.com/nfl/Philadelphia-Eagles/cap/2019"")"
26,jax,active,Ben Bartch,G,970904,0.46,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,pit_2021,pit_2019,"pit_2019,",pit_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Pittsburgh-Steelers,"Pittsburgh-Steelers/cap/2019"")","pit_2019 =pd.read_html(""https://www.spotrac.com/nfl/Pittsburgh-Steelers/cap/2019"")"
27,jax,active,Andre Cisco,S,952091,0.46,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,sea_2021,sea_2019,"sea_2019,",sea_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",San-Francisco-49ers,"San-Francisco-49ers/cap/2019"")","sea_2019 =pd.read_html(""https://www.spotrac.com/nfl/San-Francisco-49ers/cap/2019"")"
