TEAM,STATUS,PLAYER,POS.,BASE SALARY,SIGNING BONUS,ROSTER BONUS,OPTION BONUS,WORKOUT BONUS,RESTRUC. BONUS,MISC.,DEAD CAP,CAP HIT,CAP %
jax,active,Brandon Rusnak,CB,"$94,444 ",-,-,-,-,-,-,-,"$94,444 ",0.05
jax,active,Kahale Warring,TE,"$94,444 ",-,-,-,-,-,-,-,"$94,444 ",0.05
jax,active,Jamir Jones,LB,"$73,332 ",-,-,-,-,-,-,-,"$73,332 ",0.04
jax,active,Mekhi Sargent,RB,"$73,332 ",-,-,-,-,-,-,-,"$73,332 ",0.04
jax,active,Nathan Cottrell,RB,"$43,333 ",-,-,-,-,-,-,-,"$43,333 ",0.02
jax,active,Tre'Vour Wallace-Simms,G,"$43,333 ",-,-,-,-,-,-,-,"$43,333 ",0.02
jax,active,Joseph Charlton,P,"$36,666 ",-,-,-,-,-,-,-,"$36,666 ",0.02
jax,active,Danny Etling,QB,"$36,666 ",-,-,-,-,-,-,-,"$36,666 ",0.02
jax,active,Josh Hammond,WR,"$36,666 ",-,-,-,-,-,-,-,"$36,666 ",0.02
jax,active,Badara Traore,T,"$36,666 ",-,-,-,-,-,-,-,"$36,666 ",0.02
jax,injured,A.J. Cann,G,"$4,675,000 ","$1,333,334 ","$220,575 ",-,"$50,000 ",-,-,"($6,008,334)","$6,278,909 ",3
jax,injured,(Knee),,,,,,,,,,,
jax,injured,Rayshawn Jenkins,S,"$1,000,000 ","$2,000,000 ","$441,176 ",-,"$500,000 ",-,-,"($16,000,000)","$3,941,176 ",1.89
jax,injured,(Ankle),,,,,,,,,,,
jax,injured,Jamal Agnew,WR,"$1,000,000 ","$1,166,666 ","$247,059 ",-,"$200,000 ",-,-,"($4,500,000)","$2,613,724 ",1.25
jax,injured,(Hip),,,,,,,,,,,
jax,injured,DJ Chark,WR,"$2,183,000 ","$328,588 ",-,-,-,-,-,"($328,588)","$2,511,588 ",1.2
jax,injured,(Ankle),,,,,,,,,,,
jax,injured,Travis Etienne,RB,"$660,000 ","$1,685,110 ",-,-,-,-,-,"($12,898,106)","$2,345,110 ",1.12
jax,injured,(Foot),,,,,,,,,,,
jax,injured,Carlos Hyde,RB,"$1,250,000 ","$450,000 ","$117,640 ",-,"$150,000 ",-,-,"($2,150,000)","$1,967,640 ",0.94
jax,injured,(Concussion),,,,,,,,,,,
jax,injured,Logan Cooke,P,"$920,000 ","$617,906 ",-,-,-,-,-,"($3,017,906)","$1,537,906 ",0.74
jax,injured,(Knee),,,,,,,,,,,
jax,injured,Will Richardson,LT,"$920,000 ","$150,698 ",-,-,-,-,-,"($150,698)","$1,070,698 ",0.51
jax,injured,(Finger),,,,,,,,,,,
jax,injured,James Robinson,RB,"$780,000 ","$1,666 ",-,-,-,-,-,"($3,334)","$781,666 ",0.37
jax,injured,(Achilles),,,,,,,,,,,
jax,injured,Dan Arnold,TE,"$766,665 ",-,-,-,-,-,-,"($1,801,665)","$766,665 ",0.37
jax,injured,(Knee),,,,,,,,,,,
jax,injured,Terry Godwin,WR,"$440,000 ",-,-,-,-,-,-,-,"$440,000 ",0.21
jax,injured,(Undisclosed),,,,,,,,,,,
jax,injured,C.J. Beathard,QB,"$1,000,000 ","$750,000 ","$258,819 ",-,"$100,000 ",-,-,"($2,500,000)","$2,108,819 ",1.01
jax,injured,(Covid-19),,,,,,,,,,,
jax,injured,Johnathan Ford,S,"$1,000,000 ","$300,000 ","$235,294 ",-,"$50,000 ",-,-,"($1,600,000)","$1,585,294 ",0.76
jax,injured,(Covid-19),,,,,,,,,,,
jax,injured,Lerentee McCray,OLB,"$990,000 ","$137,500 ",-,-,-,-,-,"($1,127,500)","$987,500 ",0.47
jax,injured,(Covid-19),,,,,,,,,,,
jax,injured,Dylan Moses,LB,"$415,000 ","$6,666 ",-,-,-,-,-,"($70,000)","$421,666 ",0.2
jax,injured,(Knee),,,,,,,,,,,
jax,practice,Matt Sokol,TE,"$165,600 ",-,-,-,-,-,-,-,"$165,600 ",0.08
jax,practice,Tim Jones,WR,"$138,000 ",-,-,-,-,-,-,-,"$138,000 ",0.07
jax,practice,Jared Hocker,G,"$119,600 ",-,-,-,-,-,-,-,"$119,600 ",0.06
jax,practice,Coy Cronk,T,"$110,400 ",-,-,-,-,-,-,-,"$110,400 ",0.05
jax,practice,Bradley McDougald,SS,"$14,000 ",-,-,-,-,-,-,-,"$14,000 ",0.01
jax,practice,Lorenzo Burns,CB,"$9,200 ",-,-,-,-,-,-,-,"$9,200 ",0
jax,practice,Doug Costin,DT,"$9,200 ",-,-,-,-,-,-,-,"$9,200 ",0
jax,practice,Jeff Cotton,WR,"$9,200 ",-,-,-,-,-,-,-,"$9,200 ",0
jax,practice,Michael Jacquet,CB,"$9,200 ",-,-,-,-,-,-,-,"$9,200 ",0
jax,dead cap,Josh Lambo,K,"$3,500,000 ","$875,000 ",-,-,-,-,-,-,"$4,375,000 ",2.09
jax,dead cap,Joe Schobert,ILB,-,"$2,400,000 ",-,-,"$200,000 ","$912,500 ",-,-,"$3,512,500 ",1.68
jax,dead cap,C.J. Henderson,CB,"$257,091 ","$3,120,186 ",-,-,-,-,-,-,"$3,377,277 ",1.62
jax,dead cap,Rodney Gunter,DE,-,"$2,833,334 ",-,-,-,-,-,-,"$2,833,334 ",1.36
jax,dead cap,Tyler Eifert,TE,-,"$1,125,000 ",-,-,-,-,-,-,"$1,125,000 ",0.54
jax,dead cap,Al Woods,DT,"$500,000 ","$500,000 ",-,-,-,-,-,-,"$1,000,000 ",0.48
jax,dead cap,Jarrod Wilson,S,-,"$583,334 ",-,-,"$50,000 ",-,-,-,"$633,334 ",0.3
jax,dead cap,Rashaan Melvin,CB,-,"$625,000 ",-,-,-,-,-,-,"$625,000 ",0.3
jax,dead cap,Josh Oliver,TE,-,"$555,762 ",-,-,-,-,-,-,"$555,762 ",0.27
jax,dead cap,Josiah Scott,CB,-,"$482,955 ",-,-,-,-,-,-,"$482,955 ",0.23
jax,dead cap,Tyron Johnson,WR,"$433,330 ",-,-,-,-,-,-,-,"$433,330 ",0.21
jax,dead cap,Nathan Cottrell,RB,"$249,599 ","$3,334 ",-,-,-,-,-,-,"$252,933 ",0.12
jax,dead cap,Sidney Jones,CB,-,"$150,000 ",-,-,"$100,000 ",-,-,-,"$250,000 ",0.12
jax,dead cap,Brandon Rusnak,CB,"$223,244 ",-,-,-,-,-,-,-,"$223,244 ",0.11
jax,dead cap,Quincy Williams,LB,-,"$205,545 ",-,-,-,-,-,-,"$205,545 ",0.1
jax,dead cap,Ronnie Harrison,S,-,"$200,758 ",-,-,-,-,-,-,"$200,758 ",0.1
jax,dead cap,Tre'Vour Wallace-Simms,G,"$190,533 ","$3,334 ",-,-,-,-,-,-,"$193,867 ",0.09
jax,dead cap,Doug Costin,DT,"$183,866 ","$2,500 ",-,-,-,-,-,-,"$186,366 ",0.09
jax,dead cap,Lorenzo Burns,CB,"$183,866 ",-,-,-,-,-,-,-,"$183,866 ",0.09
jax,dead cap,Jeff Cotton,WR,"$183,866 ",-,-,-,-,-,-,-,"$183,866 ",0.09
jax,dead cap,Badara Traore,T,"$183,866 ",-,-,-,-,-,-,-,"$183,866 ",0.09
jax,dead cap,Josh Hammond,WR,"$183,866 ",-,-,-,-,-,-,-,"$183,866 ",0.09
jax,dead cap,Laquon Treadwell,WR,"$180,000 ",-,-,-,-,-,-,-,"$180,000 ",0.09
jax,dead cap,Tim Jones,WR,"$165,000 ","$5,000 ",-,-,-,-,-,-,"$170,000 ",0.08
jax,dead cap,John Brown,WR,"$133,444 ",-,-,-,-,-,-,-,"$133,444 ",0.06
jax,dead cap,Kyle Lauletta,QB,"$128,800 ",-,-,-,-,-,-,-,"$128,800 ",0.06
jax,dead cap,Devin Smith,WR,"$125,000 ",-,-,-,-,-,-,-,"$125,000 ",0.06
jax,dead cap,Kenny Randall,DT,"$100,000 ","$6,666 ",-,-,-,-,-,-,"$106,666 ",0.05
jax,dead cap,D.J. Daniel,CB,"$100,000 ","$5,000 ",-,-,-,-,-,-,"$105,000 ",0.05
jax,dead cap,Michael Jacquet,CB,"$98,533 ",-,-,-,-,-,-,-,"$98,533 ",0.05
jax,dead cap,K.C. McDermott,T,"$98,533 ",-,-,-,-,-,-,-,"$98,533 ",0.05
jax,dead cap,Jake Luton,QB,"$43,333 ","$45,437 ",-,-,-,-,-,-,"$88,770 ",0.04
jax,dead cap,Matthew Wright,K,"$86,666 ",-,-,-,-,-,-,-,"$86,666 ",0.04
jax,dead cap,Ryquell Armstead,RB,-,"$86,439 ",-,-,-,-,-,-,"$86,439 ",0.04
jax,dead cap,Josh Imatorbhebhe,WR,"$77,600 ","$6,666 ",-,-,-,-,-,-,"$84,266 ",0.04
jax,dead cap,Phillip Dorsett,WR,"$83,000 ",-,-,-,-,-,-,-,"$83,000 ",0.04
jax,dead cap,Collin Johnson,WR,-,"$76,788 ",-,-,-,-,-,-,"$76,788 ",0.04
jax,dead cap,Josh Jones,S,-,"$25,000 ",-,-,"$37,500 ",-,-,-,"$62,500 ",0.03
jax,dead cap,D.J. Fluker,G,"$59,722 ",-,-,-,-,-,-,-,"$59,722 ",0.03
jax,dead cap,Bradley McDougald,SS,"$59,722 ",-,-,-,-,-,-,-,"$59,722 ",0.03
jax,dead cap,Rashaad Coward,G,"$55,000 ",-,-,-,-,-,-,-,"$55,000 ",0.03
jax,dead cap,Gardner Minshew,QB,-,"$47,721 ",-,-,-,-,-,-,"$47,721 ",0.02
jax,dead cap,Dontavius Russell,DT,-,"$41,592 ",-,-,-,-,-,-,"$41,592 ",0.02
jax,dead cap,Jalen Camp,WR,-,"$41,073 ",-,-,-,-,-,-,"$41,073 ",0.02
jax,dead cap,Tyler Davis,TE,-,"$39,886 ",-,-,-,-,-,-,"$39,886 ",0.02
jax,dead cap,B.J. Emmons,RB,"$36,800 ",-,-,-,-,-,-,-,"$36,800 ",0.02
jax,dead cap,Devine Ozigbo,RB,"$36,800 ",-,-,-,-,-,-,-,"$36,800 ",0.02
jax,dead cap,Kerrith Whyte,RB,"$36,800 ",-,-,-,-,-,-,-,"$36,800 ",0.02
jax,dead cap,Jordan Wilkins,RB,"$36,800 ",-,-,-,-,-,-,-,"$36,800 ",0.02
jax,dead cap,Duke Johnson,RB,"$28,000 ",-,-,-,-,-,-,-,"$28,000 ",0.01
jax,dead cap,Daniel Ross,DT,-,"$10,000 ",-,-,"$15,000 ",-,-,-,"$25,000 ",0.01
jax,dead cap,Leon Jacobs,OLB,-,"$22,671 ",-,-,-,-,-,-,"$22,671 ",0.01
jax,dead cap,Danny Etling,QB,"$18,400 ",-,-,-,-,-,-,-,"$18,400 ",0.01
jax,dead cap,Aaron Patrick,DE,"$18,400 ",-,-,-,-,-,-,-,"$18,400 ",0.01
jax,dead cap,Hercules Mata'afa,LB,"$14,000 ",-,-,-,-,-,-,-,"$14,000 ",0.01
jax,dead cap,Wendell Smallwood,RB,"$14,000 ",-,-,-,-,-,-,-,"$14,000 ",0.01
jax,dead cap,Austen Pleasants,T,"$9,200 ","$3,334 ",-,-,-,-,-,-,"$12,534 ",0.01
jax,dead cap,Joseph Charlton,P,"$9,200 ",-,-,-,-,-,-,-,"$9,200 ",0
jax,dead cap,Kaare Vedvik,K,"$9,200 ",-,-,-,-,-,-,-,"$9,200 ",0
jax,dead cap,J.R. Reed,S,-,"$6,667 ",-,-,-,-,-,-,"$6,667 ",0
jax,dead cap,Kobe Williams,CB,-,"$6,667 ",-,-,-,-,-,-,"$6,667 ",0
